Valor, Comparacoes_Heap, Comparacoes_Lista
41, 0, 0
467, 1, 1
334, 1, 1
500, 2, 3
169, 1, 1
724, 2, 5
478, 1, 4
358, 2, 3
962, 3, 8
464, 2, 4
705, 2, 8
145, 1, 1
281, 1, 3
827, 3, 12
961, 3, 13
491, 3, 9
995, 4, 16
942, 3, 14
827, 2, 13
436, 2, 6
391, 1, 6
604, 2, 13
902, 3, 18
153, 2, 2
292, 2, 5
382, 3, 8
421, 3, 10
716, 2, 19
718, 2, 20
895, 3, 24
447, 1, 12
726, 3, 23
771, 3, 24
538, 2, 18
869, 3, 28
912, 3, 31
667, 1, 20
299, 1, 6
35, 1, 0
894, 3, 32
703, 2, 23
811, 2, 30
322, 1, 8
333, 1, 9
673, 2, 25
664, 2, 24
141, 1, 2
711, 4, 30
253, 1, 6
868, 4, 40
547, 2, 25
644, 3, 27
662, 3, 28
757, 3, 39
37, 1, 1
859, 3, 45
723, 2, 38
741, 2, 41
529, 1, 25
778, 2, 45
316, 1, 11
35, 1, 0
190, 1, 8
842, 3, 52
288, 1, 11
106, 1, 4
40, 1, 3
942, 4, 63
264, 1, 12
648, 2, 37
446, 1, 26
805, 2, 55
890, 3, 63
729, 2, 51
370, 1, 22
350, 2, 21
6, 1, 0
101, 2, 6
393, 2, 28
548, 2, 41
629, 2, 43
623, 2, 43
84, 1, 6
954, 5, 80
756, 1, 62
840, 2, 70
966, 6, 85
376, 2, 27
931, 4, 81
308, 1, 20
944, 4, 85
439, 1, 34
626, 2, 48
323, 2, 23
537, 2, 44
538, 3, 45
118, 1, 9
82, 1, 6
929, 5, 89
541, 2, 49
833, 3, 80
115, 1, 10
639, 2, 57
658, 3, 60
704, 3, 66
930, 5, 96
977, 6, 105
306, 1, 23
673, 3, 65
386, 2, 35
21, 1, 1
745, 3, 80
924, 5, 100
72, 1, 7
270, 1, 21
829, 3, 91
777, 2, 86
573, 2, 58
97, 1, 10
512, 2, 52
986, 6, 119
290, 1, 25
161, 1, 18
636, 3, 67
355, 1, 37
767, 3, 92
655, 2, 72
574, 2, 64
31, 1, 2
52, 1, 8
350, 2, 38
150, 2, 19
941, 4, 122
724, 2, 91
966, 6, 130
430, 1, 50
107, 1, 15
191, 1, 25
7, 1, 1
337, 1, 42
457, 1, 59
287, 1, 31
753, 3, 104
383, 2, 51
945, 5, 136
909, 3, 127
209, 1, 27
758, 3, 109
221, 1, 28
588, 2, 79
422, 1, 58
946, 5, 143
506, 2, 70
30, 2, 3
413, 2, 58
168, 2, 25
900, 3, 135
591, 2, 85
762, 2, 118
655, 3, 94
410, 1, 59
359, 1, 52
624, 2, 90
537, 2, 78
548, 2, 84
483, 2, 73
595, 2, 91
41, 1, 9
602, 2, 93
350, 1, 49
291, 1, 39
836, 2, 141
374, 1, 57
20, 1, 2
596, 1, 97
21, 1, 3
348, 2, 52
199, 1, 32
668, 2, 117
484, 2, 82
281, 1, 38
734, 3, 133
53, 1, 14
999, 7, 183
418, 1, 72
938, 3, 170
900, 2, 162
788, 3, 147
127, 1, 24
467, 2, 83
728, 2, 136
893, 5, 164
648, 2, 116
483, 2, 86
807, 3, 154
421, 2, 74
310, 1, 50
617, 3, 112
813, 3, 159
514, 2, 95
309, 1, 50
616, 3, 114
935, 5, 186
451, 2, 84
600, 2, 113
249, 1, 37
519, 2, 99
556, 2, 109
798, 3, 164
303, 1, 49
224, 1, 37
8, 1, 2
844, 3, 179
609, 1, 122
989, 7, 212
702, 4, 143
195, 1, 35
485, 2, 98
93, 1, 19
343, 2, 64
523, 3, 107
587, 3, 120
314, 1, 58
503, 2, 104
448, 1, 92
200, 1, 38
458, 1, 96
618, 2, 136
580, 1, 125
796, 3, 182
798, 3, 183
281, 1, 46
589, 1, 129
